Real,Previsto
9.37,9.523407247662544
9.82,9.604078230261802
9.55,9.716473776102067
9.79,9.575074553489685
10.48,9.508312061429024
10.21,9.75023031681776
11.29,9.937650918960571
11.03,10.347375416755677
11.07,10.632591558992862
11.03,10.839254701137543
11.05,10.918712057173252
11.39,10.952230563759803
11.76,11.112529174983502
12.45,11.388329938054085
12.52,11.749191415309905
12.61,12.0864128023386
13.04,12.324850025773049
12.82,12.640302583575249
12.26,12.786754384636879
11.95,12.630275613069534
11.85,12.440880370140075
12.0,12.193443892896175
12.36,12.156756231188774
12.32,12.294265246391296
12.16,12.433230265974998
11.91,12.471378275752068
12.01,12.355269744992256
11.54,12.241896000504493
11.83,11.928640480339528
11.4,11.805951261520386
11.98,11.64976612329483
11.52,11.677418912947179
11.85,11.649131944775581
11.88,11.771663922071458
12.0,11.90785419344902
12.42,12.023995736241341
11.92,12.182647220790386
12.21,12.088145065307618
12.17,12.071808452904225
12.23,12.086708173155785
12.11,12.1548267647624
12.31,12.156512984633446
12.43,12.27341727912426
12.32,12.363194370269776
12.7,12.458338522911072
12.65,12.552224743366242
12.72,12.715953999757767
12.61,12.798147010803223
12.31,12.786014220118522
12.16,12.623912978172303
12.51,12.372283104062081
12.55,12.474750715494157
12.88,12.566200995445252
12.47,12.771817308664321
12.03,12.739064159989358
12.31,12.541521894931794
11.93,12.443844503164291
11.94,12.265226820111275
12.31,12.157599775493145
12.22,12.167846536636352
12.34,12.192719365656377
12.16,12.246813055872916
12.09,12.248781615495682
11.85,12.250689363479614
11.89,12.176037864387036
11.58,12.043306037783623
11.74,11.847251051664353
11.69,11.698853278160096
11.7,11.657035720348357
11.81,11.718594473600387
12.15,11.735779842734336
12.07,11.970768177509308
11.78,12.097086982429028
11.89,11.93028760701418
12.12,11.845629987120628
11.86,11.878139889240265
12.06,11.868942563235759
12.07,11.950231218338013
12.26,12.073871704936028
12.33,12.209931665658951
12.08,12.406509631872177
12.06,12.361623692512513
11.81,12.288868647813796
11.62,12.123565238714217
11.79,11.911561965942383
11.65,11.772411036491395
11.69,11.689759331941605
11.71,11.735551364719868
11.42,11.766819840669632
11.25,11.61424430757761
11.23,11.473544418811798
10.99,11.30273234397173
11.08,11.120567604899406
11.04,10.979872059822082
11.11,10.86919661462307
10.84,10.874153631925584
10.79,10.82067587673664
10.85,10.769987638294698
10.82,10.773388746380807
11.01,10.677862349152566
10.94,10.72914741039276
10.86,10.732264441251754
11.38,10.68218866288662
11.31,10.954352021217346
11.31,11.174347680807113
11.24,11.280092170834541
11.32,11.341369453072549
11.03,11.354110360145569
11.15,11.214594560861588
11.66,11.1342241615057
11.75,11.377323031425476
12.26,11.636009661853313
12.21,11.948186209797859
12.2,12.148256501555442
11.94,12.235055559873581
11.34,12.176998688280582
11.28,11.902977968752385
10.86,11.59932981878519
10.97,11.305959704518319
11.05,11.174143527448177
11.18,11.172495532035828
11.11,11.234307956695556
11.91,11.308819589018821
12.52,11.581452065706253
12.44,11.920072989165783
11.92,12.131151925027371
12.04,12.019797126948834
12.35,11.947143724560737
12.53,12.0177442997694
12.56,12.199478144943715
12.68,12.459101274609566
12.55,12.66877285540104
12.65,12.821910461783409
12.99,12.895240610837936
12.95,12.999994739890099
12.74,13.053303959965707
12.68,13.018757736682891
12.41,12.883625587821006
12.75,12.603641852736473
12.8,12.594858914613724
12.91,12.828778702020646
13.18,13.03576935827732
13.37,13.205584990978242
13.36,13.35128794014454
13.18,13.440319654345512
13.86,13.383299186825752
14.1,13.601899653673172
14.15,13.865492045879364
14.33,14.0389963388443
14.46,14.222609263658523
14.48,14.462617164850235
14.37,14.649943074584005
13.89,14.795409727096557
14.07,14.561542063951492
14.3,14.418318492174148
14.46,14.424264132976532
14.38,14.50582991540432
14.26,14.543451470136642
13.82,14.535956001281738
13.67,14.3959901958704
13.96,14.103135243058205
14.54,13.98982752263546
14.619999999999997,14.192709049582481
14.38,14.405323913693428
14.52,14.448185694217681
13.8,14.503651121258736
13.77,14.32067237496376
13.34,14.203229463100433
13.2,13.942437881231308
12.98,13.649963435530662
12.69,13.360399261116982
12.56,13.104182451963425
12.38,12.908198702335358
12.05,12.764160254597664
12.34,12.57724786400795
12.69,12.464134740829468
12.44,12.407277595996856
12.6,12.31727984547615
12.52,12.329509934782982
12.62,12.302146434783936
12.57,12.373495861887932
12.48,12.408707538247109
12.45,12.431769049167633
12.6,12.427908378839494
12.43,12.498635789752006
12.47,12.525535383820534
12.4,12.550504642724992
12.26,12.55439832508564
12.22,12.554062992334366
11.99,12.422841900587082
10.6,12.094545924663544
11.35,11.533701029419898
11.31,11.37508690059185
11.01,11.346328207850457
10.47,11.25028925538063
10.4,11.03509337157011
10.8,10.82657286822796
10.82,10.798922684788703
11.21,10.779996365308762
11.42,10.895335194468498
10.9,11.045517355203629
10.82,11.01746233999729
11.16,10.931417346000671
11.21,10.946481257677078
11.25,11.000892905890941
11.17,11.202415727078915
11.2,11.19682539999485
11.51,11.170181214809418
11.41,11.300481444597244
11.51,11.48636872470379
11.55,11.63539112061262
11.13,11.66466931849718
10.93,11.48115977346897
11.08,11.191619923710823
11.12,11.027840280532837
11.17,11.104443833231926
11.52,11.243228155374528
11.42,11.406349295377732
11.23,11.464125564694404
11.22,11.39580716341734
11.08,11.347358530759811
11.01,11.256354781985284
10.92,11.087098616361619
10.95,10.969018051028252
11.08,10.895340406894684
11.08,10.919946533441543
11.1,11.05750854164362
11.11,11.225420770049094
11.16,11.256750926375389
11.11,11.24767782986164
11.29,11.174854154884816
11.19,11.072446486353874
11.28,11.013335835933685
11.29,11.143229496479034
11.16,11.265101233124733
11.36,11.31365845799446
11.11,11.46768043935299
11.11,11.42537117600441
11.16,11.340570214390755
11.01,11.254268074035645
10.97,11.1232137799263
10.95,11.019446536898613
11.23,10.960057890415191
11.37,11.07404496371746
11.46,11.265142932534218
11.38,11.388852049410342
11.68,11.448750644922256
11.68,11.57573055922985
11.89,11.664581575989724
12.06,11.842467781901359
12.26,11.988506063818932
12.37,12.259275966882706
12.4,12.463177391886711
12.49,12.574414041638374
12.32,12.727963429689407
12.52,12.716598603129388
12.69,12.748297104239464
12.74,12.816234129667283
12.72,12.89536918401718
12.9,12.952450463175774
13.37,13.098115187883376
13.57,13.320965519547462
13.87,13.556761780381203
13.78,13.798557543754578
13.52,13.919273859262466
13.48,13.832419201731682
13.44,13.747315919399261
13.59,13.70301898419857
13.54,13.748973470926284
13.64,13.856297326087951
13.32,13.944402965903283
13.3,13.803738695383071
13.19,13.676932528614998
12.91,13.566974660754203
12.91,13.353379860520363
12.94,13.092296382784843
12.55,12.902018502354622
12.46,12.587071549892425
12.37,12.387253192067146
12.26,12.295682157576085
12.13,12.231088903546333
12.26,12.152522003650665
12.19,12.092137783765793
12.0,12.02939580976963
12.16,11.882568714022636
12.13,11.878853991627693
12.44,11.873139435052872
12.38,12.041994243860245
12.47,12.180956657230855
12.28,12.279044961929321
12.13,12.227052748203278
12.04,12.168534576892853
12.25,12.088524703681468
12.37,12.143921500444412
12.19,12.273039378225803
12.13,12.306245139241218
12.31,12.234100817143917
12.37,12.268600997328758
12.55,12.389826393127441
12.35,12.509503698348999
12.07,12.497310096025467
