Papel,RMSE,MAE,DataHora
BBAS3,1.3715340001048997,1.0937853337232328,2025-05-16 21:18:34
VALE3,3.1030447289642296,2.4644987697790817,2025-05-16 21:26:30
PETR4,1.1226370799262422,0.8899504633158049,2025-05-16 21:34:47
